
 Read odom 

 odom: left 9565918 | right 9556675

 odom: left 9566118 | right 9556675

 odom: left 9566118 | right 9556675

 odom: left 9566118 | right 9556675

 odom: left 9566118 | right 9556675

 odom: left 9566317 | right 9556874

 odom: left 9566317 | right 9556874

 odom: left 9566317 | right 9556874

 odom: left 9566317 | right 9556874

 odom: left 9566516 | right 9557074

 odom: left 9566516 | right 9557074

 odom: left 9566516 | right 9557074

 odom: left 9566516 | right 9557074

 odom: left 9566516 | right 9557274

 odom: left 9566714 | right 9557274

 odom: left 9566714 | right 9557274

 odom: left 9566714 | right 9557274

 odom: left 9566714 | right 9557274

 odom: left 9566914 | right 9557475

 odom: left 9566914 | right 9557475

 odom: left 9566914 | right 9557475

 odom: left 9566914 | right 9557475

 odom: left 9567113 | right 9557675

 odom: left 9567113 | right 9557675

 odom: left 9567113 | right 9557675

 odom: left 9567113 | right 9557675

 odom: left 9567113 | right 9557875

 odom: left 9567311 | right 9557875

 odom: left 9567311 | right 9557875

 odom: left 9567311 | right 9557875

 odom: left 9567311 | right 9557875

 odom: left 9567512 | right 9558076

 odom: left 9567512 | right 9558076

 odom: left 9567512 | right 9558076

 odom: left 9567512 | right 9558076

 odom: left 9567512 | right 9558076

 odom: left 9567712 | right 9558275

 odom: left 9567712 | right 9558275

 odom: left 9567712 | right 9558275

 odom: left 9567712 | right 9558275

 odom: left 9567712 | right 9558275

 odom: left 9567914 | right 9558475

 odom: left 9567914 | right 9558475

 odom: left 9567914 | right 9558475

 odom: left 9567914 | right 9558475

 odom: left 9567914 | right 9558475

 odom: left 9568117 | right 9558676

 odom: left 9568117 | right 9558676

 odom: left 9568117 | right 9558676

 odom: left 9568256 | right 9558676

 odom: left 9568256 | right 9558676

 odom: left 9568317 | right 9558876

 odom: left 9568317 | right 9558876

 odom: left 9568317 | right 9558876

 odom: left 9568317 | right 9558876

 odom: left 9568317 | right 9559076

 odom: left 9568519 | right 9559076

 odom: left 9568519 | right 9559076

 odom: left 9568519 | right 9559076

 odom: left 9568519 | right 9559076

 odom: left 9568519 | right 9559275

 odom: left 9568719 | right 9559275

 odom: left 9568719 | right 9559275

 odom: left 9568719 | right 9559275

 odom: left 9568719 | right 9559275

 odom: left 9568919 | right 9559474

 odom: left 9568919 | right 9559474

 odom: left 9568919 | right 9559474

 odom: left 9568919 | right 9559474

 odom: left 9568919 | right 9559474

 odom: left 9569118 | right 9559673

 odom: left 9569118 | right 9559673

 odom: left 9569118 | right 9559673

 odom: left 9569118 | right 9559673

 odom: left 9569118 | right 9559673

 odom: left 9569317 | right 9559872

 odom: left 9569317 | right 9559872

 odom: left 9569317 | right 9559872

 odom: left 9569317 | right 9559872

 odom: left 9569317 | right 9559872

 odom: left 9569517 | right 9560072

 odom: left 9569517 | right 9560072

 odom: left 9569517 | right 9560072

 odom: left 9569517 | right 9560072

 odom: left 9569517 | right 9560072

 odom: left 9569716 | right 9560272

 odom: left 9569716 | right 9560272

 odom: left 9569716 | right 9560272

 odom: left 9569716 | right 9560272

 odom: left 9569716 | right 9560472

 odom: left 9569916 | right 9560472

 odom: left 9569916 | right 9560472

